date,folder,brier,log_score,rps,direction_correct,top_hit,actual_temp,mkt_mid,mdl_mid,took_trade,pnl,edge_used,trade_side
2026-07-13,20260712_164540,0.24739256389647205,4.742149544915383,0.35221661341886196,1,0,26.0,27.55,24.654464230383745,True,-0.8347044184867185,0.8347044184867185,1
2026-07-13,20260712_165328,0.24739256389647205,4.742149544915383,0.35221661341886196,1,0,26.0,27.55,24.654464230383745,True,-0.8347044184867185,0.8347044184867185,1
2026-07-13,20260712_221234,0.1484621279064346,1.904487822927226,0.1918565322515086,1,0,26.0,27.55,25.36945113958573,True,-0.45098193206463877,0.45098193206463877,1
2026-07-14,20260713_051728,0.12194078059179052,1.6733134672729746,0.10321986467093681,1,0,26.0,27.55,25.975352159050583,True,-0.3044563857963964,0.3044563857963964,1
2026-07-14,20260713_122220,0.11686648166819459,1.6855895275044133,0.06441389723235226,1,0,26.0,27.55,26.370686599683644,True,-0.2435173562167435,0.2435173562167435,1
2026-07-14,20260713_185514,0.11452655516907262,1.6766820093984593,0.05011911825208241,1,0,26.0,27.55,26.546820514832113,True,-0.21257159126279593,0.21257159126279593,1
2026-07-15,20260714_010243,0.11557802768468563,1.638623435293575,0.07189247623109891,1,0,26.0,27.55,26.269775357419213,True,-0.2478645996267139,0.2478645996267139,1
2026-07-15,20260714_074451,0.11462851967405466,1.6541227325910821,0.05920096633421734,1,0,26.0,27.55,26.420348418697106,True,-0.22736979375653826,0.22736979375653826,1
2026-07-15,20260714_144351,0.11495504171030262,1.642714707273334,0.06583809396347827,1,0,26.0,27.55,26.338101930564726,True,-0.2378121946375886,0.2378121946375886,1
2026-07-15,20260714_215817,0.11805502328112341,1.6233047617435477,0.09486860913041807,1,0,26.0,27.55,26.039404923012594,True,-0.2811768696779542,0.2811768696779542,1
2026-07-16,20260715_045933,0.11586095000914641,1.6305034496974162,0.07690480747753702,1,0,26.0,27.55,26.214515886655395,True,-0.2547382401161705,0.2547382401161705,1
2026-07-16,20260715_114642,0.11530686260627492,1.6341545786104918,0.07156750695022727,1,0,26.0,27.55,26.27187224005312,True,-0.2463685143405077,0.2463685143405077,1
2026-07-16,20260715_183910,0.11559504522102201,1.5969185608735508,0.08752032899803931,1,0,26.0,27.55,26.101762275361388,True,-0.26423601191455925,0.26423601191455925,1
2026-07-17,20260716_005549,0.11317047528499882,1.6069671158587122,0.06595635378645598,1,0,26.0,27.55,26.32485213597994,True,-0.23071209261001394,0.23071209261001394,1
2026-07-17,20260716_073634,0.11266173346882406,1.6595167072394752,0.04138463193712761,1,0,26.0,27.55,26.662229335945202,True,-0.19481322035743634,0.19481322035743634,-1
2026-07-17,20260716_134427,0.11248335619467956,1.6489096351849215,0.04410779566340115,1,0,26.0,27.55,26.616702970510996,True,-0.19544269448811546,0.19544269448811546,-1
2026-07-17,20260716_205348,0.13241356313142205,1.7160567112594125,0.1548405861001996,1,0,26.0,27.55,25.58886811146618,True,-0.3741560384423338,0.3741560384423338,1
2026-07-18,20260717_164210,0.21598369489223906,3.2951616150492544,0.310046142377381,1,0,26.0,27.55,24.81453024217491,True,-0.7089121243695558,0.7089121243695558,1
2026-07-19,20260718_000410,0.14190153503316102,1.8144087424523152,0.18052360578074086,1,0,26.0,27.55,25.43310113984436,True,-0.4193385927730651,0.4193385927730651,1
2026-07-19,20260718_070754,0.15040566364480656,1.9126804193471707,0.20131086342126772,1,0,26.0,27.55,25.317582083287125,True,-0.4550041973850621,0.4550041973850621,1
2026-07-19,20260718_114039,0.12244897959183676,1.9459101490553135,0.02031190476190477,1,0,26.0,27.55,27.5,True,-0.20714285714285713,0.20714285714285713,-1
2026-07-19,20260718_154131,0.12244897959183676,1.9459101490553135,0.02031190476190477,1,0,26.0,27.55,27.5,True,-0.20714285714285713,0.20714285714285713,-1
2026-07-19,20260718_154132,0.12244897959183676,1.9459101490553135,0.02031190476190477,1,0,26.0,27.55,27.5,True,-0.20714285714285713,0.20714285714285713,-1
